ZIP5,CBSA CODE,CBSA LSAD
36177,33860,Metropolitan Statistical Area
36191,33860,Metropolitan Statistical Area
46401,16980,Metropolitan Statistical Area
46402,16980,Metropolitan Statistical Area
46403,16980,Metropolitan Statistical Area
46404,16980,Metropolitan Statistical Area
46405,16980,Metropolitan Statistical Area
46406,16980,Metropolitan Statistical Area
46407,16980,Metropolitan Statistical Area
46408,16980,Metropolitan Statistical Area
46409,16980,Metropolitan Statistical Area
46410,16980,Metropolitan Statistical Area
46411,16980,Metropolitan Statistical Area
46501,38500,Micropolitan Statistical Area
46501,,
46502,47700,Micropolitan Statistical Area
46504,38500,Micropolitan Statistical Area
46504,47700,Micropolitan Statistical Area
46506,38500,Micropolitan Statistical Area
46506,47700,Micropolitan Statistical Area
46506,43780,Metropolitan Statistical Area
46507,21140,Metropolitan Statistical Area
46508,47700,Micropolitan Statistical Area
46510,47700,Micropolitan Statistical Area
46511,38500,Micropolitan Statistical Area
46511,,
46513,38500,Micropolitan Statistical Area
46514,21140,Metropolitan Statistical Area
46515,21140,Metropolitan Statistical Area
46516,21140,Metropolitan Statistical Area
46517,21140,Metropolitan Statistical Area
46517,43780,Metropolitan Statistical Area
46524,47700,Micropolitan Statistical Area
46524,38500,Micropolitan Statistical Area
46526,21140,Metropolitan Statistical Area
46526,,
46527,21140,Metropolitan Statistical Area
46528,21140,Metropolitan Statistical Area
46528,,
46530,43780,Metropolitan Statistical Area
46530,21140,Metropolitan Statistical Area
46531,,
46531,38500,Micropolitan Statistical Area
46532,,
46532,33140,Metropolitan Statistical Area
46534,,
46536,43780,Metropolitan Statistical Area
46536,38500,Micropolitan Statistical Area
46537,38500,Micropolitan Statistical Area
46538,47700,Micropolitan Statistical Area
46539,47700,Micropolitan Statistical Area
46539,38500,Micropolitan Statistical Area
46539,,
46540,21140,Metropolitan Statistical Area
46540,,
46542,47700,Micropolitan Statistical Area
46542,21140,Metropolitan Statistical Area
46543,21140,Metropolitan Statistical Area
46543,,
46543,28340,Micropolitan Statistical Area
46544,43780,Metropolitan Statistical Area
46545,43780,Metropolitan Statistical Area
46546,43780,Metropolitan Statistical Area
46550,21140,Metropolitan Statistical Area
46550,47700,Micropolitan Statistical Area
46550,43780,Metropolitan Statistical Area
46550,38500,Micropolitan Statistical Area
46552,43780,Metropolitan Statistical Area
46552,33140,Metropolitan Statistical Area
46553,21140,Metropolitan Statistical Area
46554,43780,Metropolitan Statistical Area
46554,33140,Metropolitan Statistical Area
46555,47700,Micropolitan Statistical Area
